,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_act,param_batch_size,param_beta_1,param_beta_2,param_decay,param_dropout,param_epochs,param_l1,param_l2,param_lr,param_nl1,param_nl2,param_nl3,param_nn1,param_nn2,param_nn3,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,6.595002174377441,0.13980127691878483,0.7486673990885416,0.11418838126036883,relu,200,0.9,0.9,1e-06,0.1,8,0,0,0.01,1,1,0,10,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 8, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 10, 'nn2': 7, 'nn3': 0}",0.13898402221812253,0.14451077082792627,0.14884539566319346,0.14411270157579406,0.004035850756988524,23
11,6.678665081659953,0.27277818582679286,0.5873339176177979,0.07366571920667192,relu,200,0.9,0.9,1e-06,0.1,8,0,0,0.01,1,1,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 8, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.16601224779016732,0.1857057848935169,0.1554437077108311,0.16905350153828444,0.012539459314747627,8
12,5.366997718811035,0.22926697572977872,0.6500014464060465,0.10664227351100898,relu,200,0.9,0.9,1e-06,0.1,9,0,0,0.01,1,0,0,11,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 9, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 11, 'nn2': 7, 'nn3': 0}",0.012436048799685163,0.20080555688842222,0.15850654559543362,0.12390095291950085,0.08070252389693545,29
13,5.644668102264404,0.015624423709276213,0.591666062672933,0.03727794325992651,relu,200,0.9,0.9,1e-06,0.1,9,0,0,0.01,1,0,0,10,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 9, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 10, 'nn2': 7, 'nn3': 0}",0.22391415967781633,0.1881157348254755,0.0,0.13735502228226965,0.09820838685449536,24
14,5.372665325800578,0.2661122331529851,0.5953348477681478,0.08188108942708922,relu,200,0.9,0.9,1e-06,0.1,9,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 9, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.012436048799685163,0.22587062122968846,0.10888736263736261,0.11571735515190108,0.08727095494181547,31
15,6.1383349895477295,0.14453680670732724,0.7923338413238525,0.033867069312183175,relu,200,0.9,0.9,1e-06,0.1,9,0,0,0.01,1,1,0,11,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 9, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 11, 'nn2': 7, 'nn3': 0}",0.1811780870500967,0.189767201873337,0.16778250297258795,0.17957614760877022,0.0090458396325452,5
16,6.476999282836914,0.11161486434376086,0.7203356424967448,0.04271490147666167,relu,200,0.9,0.9,1e-06,0.1,9,0,0,0.01,1,1,0,10,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 9, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 10, 'nn2': 7, 'nn3': 0}",0.19776226956037268,0.1981951162481216,0.1367239053556455,0.177563166281759,0.028875325997692443,6
17,6.641000111897786,0.1824987637329112,0.9106674194335938,0.03271164685222928,relu,200,0.9,0.9,1e-06,0.1,9,0,0,0.01,1,1,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 9, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.17078852675099804,0.20512593978124544,0.10069754842205066,0.15887228566214365,0.043454910620954586,15
18,5.795998493830363,0.04267171356463619,0.7413370609283447,0.11915519445729723,relu,200,0.9,0.9,0,0.1,7,0,0,0.01,1,0,0,11,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 0, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 11, 'nn2': 7, 'nn3': 0}",0.2060106236636811,0.21365486619897017,0.12298293493945667,0.18088621127595494,0.04105842076011372,4
19,5.431665341059367,0.26455015531033754,0.7813350359598795,0.10250273199373046,relu,200,0.9,0.9,0,0.1,7,0,0,0.01,1,0,0,10,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 0, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 10, 'nn2': 7, 'nn3': 0}",0.1905866732060969,0.2039567641894034,0.0,0.13152247915811652,0.09315105811639825,27
