,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,0.5510004043579102,0.008762697230522773,0.08820104598999023,0.005912163413798104,0.7,1,6,scale,rbf,True,"{'C': 0.7, 'coef0': 1, 'degree': 6, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
31,1.8065993309020996,0.10319242746616776,0.0567995548248291,0.0014702820132998671,0.7,1,6,scale,poly,True,"{'C': 0.7, 'coef0': 1, 'degree': 6, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5353200307058129,0.5844968991955141,0.587469326750344,0.5676222066098349,0.551736780914753,0.5653332131330215,0.019740626350531428,45
32,0.5519990921020508,0.014710913451459086,0.08900036811828613,0.0041472291738924244,0.7,1,7,scale,rbf,True,"{'C': 0.7, 'coef0': 1, 'degree': 7, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
33,2.274199295043945,0.17958132602389784,0.05700030326843262,0.00141424596973846,0.7,1,7,scale,poly,True,"{'C': 0.7, 'coef0': 1, 'degree': 7, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5760459640759847,0.5974768585796246,0.5958638377750142,0.5700995111929931,0.564370278499615,0.5807763148443538,0.013505088021961566,19
34,0.5503991127014161,0.014826541364240938,0.08699998855590821,0.0026082234554678898,0.7,1,8,scale,rbf,True,"{'C': 0.7, 'coef0': 1, 'degree': 8, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
35,2.397399568557739,0.183703704935461,0.05799999237060547,0.0008943626000234773,0.7,1,8,scale,poly,True,"{'C': 0.7, 'coef0': 1, 'degree': 8, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5797816992753527,0.5979188207161567,0.6052321691215622,0.5906324155498136,0.5654401084920947,0.5878078934073866,0.013986315726420624,7
36,0.558000135421753,0.008671703713120713,0.08679986000061035,0.0007475638784948084,0.8,0,6,scale,rbf,True,"{'C': 0.8, 'coef0': 0, 'degree': 6, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.5181434346391439,0.5051171462284445,0.5304109653745948,0.5271785969924837,0.5240789901769624,0.5209848790219415,0.008907888371851743,97
37,0.7675991535186768,0.025609521729100124,0.06679978370666503,0.003709286528915839,0.8,0,6,scale,poly,True,"{'C': 0.8, 'coef0': 0, 'degree': 6, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.43831189415763533,0.4218356063751449,0.4389243493868645,0.45600549966090953,0.4625973894184727,0.44352910759097613,0.014408691540480575,142
38,0.5687988758087158,0.005979518975147109,0.09159998893737793,0.003826279510531137,0.8,0,7,scale,rbf,True,"{'C': 0.8, 'coef0': 0, 'degree': 7, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.5181434346391439,0.5051171462284445,0.5304109653745948,0.5271785969924837,0.5240789901769624,0.5209848790219415,0.008907888371851743,97
39,0.8361991882324219,0.033199089484906054,0.06680035591125488,0.0007488381357457715,0.8,0,7,scale,poly,True,"{'C': 0.8, 'coef0': 0, 'degree': 7, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.42621548729755077,0.4399917164288005,0.4478108730334887,0.4598801390509798,0.45815310004106624,0.4464066654875124,0.012412452634812195,139
