,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_act,param_decay,param_dropout,param_epochs,param_l1,param_l2,param_lr,param_nl1,param_nl2,param_nl3,param_nn1,param_nn2,param_nn3,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21,2.564621369043986,0.38869209089532425,0.10612265268961589,0.007049685260570989,relu,1e-06,0,3,0.001,0,1e-05,0,0,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 1e-05, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.9497257769652651,-2.569469835466179,-2.009149130832571,-1.842730874733313,0.6717365061456994,109
22,2.6442182858784995,0.3371529169904975,0.16724332173665366,0.009729412812718372,relu,1e-06,0,3,0.001,0,1e-05,0,1,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 1e-05, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-2.863802559414991,-1.3153564899451553,-2.8334858188472096,-2.337397135019811,0.7229630098546824,126
23,3.0179386933644614,0.18693989689467475,0.16126394271850586,0.027750874062712053,relu,1e-06,0,3,0.001,0,1e-05,0,1,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 1e-05, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.6252285191956124,-2.017367458866545,-2.375114364135407,-1.6723559890277355,0.7548614899759044,96
24,2.4326085249582925,0.2719564156162178,0.1647801399230957,0.06624300856329757,relu,1e-06,0,3,0.001,0.001,0.01,0,0,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0.001, 'lr': 0.01, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-0.5383912248628885,-0.5585009140767825,-0.5663311985361391,-0.5544041450777202,0.011767869907577331,14
25,2.3523040612538657,0.11542487812520986,0.13576388359069824,0.04479081818339737,relu,1e-06,0,3,0.001,0.001,0.01,0,0,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0.001, 'lr': 0.01, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.5475319926873857,-0.5859232175502742,-0.5782250686184812,-0.570557756781469,0.01658582310353972,42
26,3.1487999757130942,0.4569852737671249,0.16486501693725586,0.027029182689400404,relu,1e-06,0,3,0.001,0.001,0.01,0,1,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0.001, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-0.5301645338208409,-0.5685557586837294,-0.5837145471180238,-0.5608046327339226,0.02253696444301505,24
27,3.1922711531321206,0.1287537068667616,0.11954267819722493,0.016318907713971202,relu,1e-06,0,3,0.001,0.001,0.01,0,1,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0.001, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.5137111517367459,-0.6069469835466179,-0.5635864592863677,-0.5614142029868943,0.03810011583236673,26
28,2.3696126143137612,0.255115804515082,0.14658872286478677,0.04276077828301427,relu,1e-06,0,3,0.001,0.001,1e-05,0,0,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0.001, 'lr': 1e-05, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-2.8455210237659965,-0.643510054844607,-0.9817017383348582,-1.4903992685156964,0.9683267424867941,90
29,2.5619669755299888,0.1957760500646181,0.15958412488301596,0.029673667380403987,relu,1e-06,0,3,0.001,0.001,1e-05,0,0,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0.001, 'lr': 1e-05, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.6270566727605119,-2.822669104204753,-1.6688014638609332,-1.7061871380676623,0.8968809345119996,99
30,3.0373710791269937,0.19453132200420478,0.15615010261535645,0.006823377923337571,relu,1e-06,0,3,0.001,0.001,1e-05,0,1,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0.001, 'lr': 1e-05, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-0.6243144424131627,-0.9661791590493601,-1.1848124428179323,-0.9250228588844864,0.2306490530668551,66
